,Feature,Coefficient,Abs_Coefficient
0,Intercept,-0.16234191290164474,0.16234191290164474
1,state_code_TX,-0.44894789370246396,0.44894789370246396
2,income_log,0.3909698808763795,0.3909698808763795
3,race_ethnicity_White|Not Hispanic or Latino,0.37379930359088986,0.37379930359088986
4,activity_year_2022,-0.35483807926832367,0.35483807926832367
5,race_ethnicity_Race Not Available|Hispanic or Latino,-0.274509997345646,0.274509997345646
6,county_code_NA,-0.25409193816613496,0.25409193816613496
7,interest_rate,0.21985566029014614,0.21985566029014614
8,applicant_age_45-54,-0.18397710932344777,0.18397710932344777
9,activity_year_2021,0.1717682136963007,0.1717682136963007
10,state_code_WA,0.16889196803472528,0.16889196803472528
11,applicant_age_25-34,0.15997954403812661,0.15997954403812661
12,race_ethnicity_Black or African American|Not Hispanic or Latino,-0.14999534851606972,0.14999534851606972
13,occupancy_type_Principal Residence,-0.14835132618836283,0.14835132618836283
14,race_ethnicity_White|Hispanic or Latino,-0.1343327371495219,0.1343327371495219
15,activity_year_2020,0.12816652295827927,0.12816652295827927
16,applicant_age_55-64,-0.11673239021542282,0.11673239021542282
17,derived_sex_Male,-0.11666744387078797,0.11666744387078797
18,derived_sex_Joint,0.10104334330104744,0.10104334330104744
19,applicant_age_<25,-0.08166244176300659,0.08166244176300659
20,race_ethnicity_Race Not Available|Ethnicity Not Available,0.07690649677679702,0.07690649677679702
21,race_ethnicity_Asian|Not Hispanic or Latino,0.05969329841475371,0.05969329841475371
22,derived_sex_Sex Not Available,0.05546341483988241,0.05546341483988241
23,state_code_NY,0.05350073776775128,0.05350073776775128
24,race_ethnicity_White|Ethnicity Not Available,-0.05284454570521192,0.05284454570521192
25,applicant_age_35-44,-0.05205879199523505,0.05205879199523505
26,county_code_53033,0.04457512358512276,0.04457512358512276
27,county_code_48439,0.04102719150917639,0.04102719150917639
28,county_code_06037,-0.03999540826624305,0.03999540826624305
29,county_code_48291,-0.03992991078350271,0.03992991078350271
30,activity_year_2019,0.039424488317375196,0.039424488317375196
31,county_code_48135,-0.03601384633816448,0.03601384633816448
32,county_code_36055,0.034518509510812596,0.034518509510812596
